epoch,accuracy,loss,val_accuracy,val_loss
0,0.9418942332267761,3.098729372024536,0.9918699264526367,0.3103363811969757
1,0.99244624376297,0.061889391392469406,0.9810298085212708,0.6431044936180115
2,0.9976757764816284,0.024762658402323723,0.9918699264526367,0.48971012234687805
3,0.9976757764816284,0.03147078678011894,0.9864498376846313,0.6492217183113098
4,0.9994189143180847,0.0011352739529684186,0.9918699264526367,0.4614975154399872
5,1.0,8.649018923279073e-07,0.9918699264526367,0.46312451362609863
6,1.0,3.4971213835888193e-07,0.9918699264526367,0.46372535824775696
7,1.0,2.41565572878244e-07,0.9918699264526367,0.4641466736793518
8,1.0,1.8561513570602983e-07,0.9918699264526367,0.46456480026245117
9,1.0,1.5119725560452935e-07,0.9918699264526367,0.46478718519210815
10,1.0,1.2813539740363922e-07,0.9918699264526367,0.46501627564430237
